"DIDE_CODE","CONTINENT","ISO","NAME_0","NAME_1","map_prev_210_2019","prev_2_10","prev_0_5","inf_inc_0_5","clin_inc_0_5","sev_inc_0_5","sev_inc_0_10","sev_inc_0_1","sev_inc_1_2","sev_inc_2_3","sev_inc_3_4","sev_inc_4_5","sev_inc_5_6","sev_inc_6_7","sev_inc_7_8","sev_inc_8_9","sev_inc_9_10","eir","inc_sma_ppy","inc_sma_ppy_0_10"
101979,"Africa","MOZ","Mozambique","Zambezia",0.397828553143288,0.395898687671233,0.301962252054795,3.7854604490411,1.65217781506849,0.040555782860274,0.0231947358849315,0.0451843855227397,0.0688213172191781,0.0462593460312329,0.0251700405249315,0.0134951307,0.00801996665726027,0.00479891885432877,0.00327978482194521,0.00209998753386301,0.00153534808230137,26.1195815753425,0.0228717853227037,0.0133929070867423
101981,"Africa","MRT","Mauritania","Assaba",0.134714501878866,0.131258982465753,0.08512078,0.295646844520548,0.221151995808219,0.0129286358169863,0.0105613088547945,0.00953652304931507,0.0144082006383562,0.0148218123945205,0.0137372117082192,0.0122885306167123,0.0104443155257534,0.0089574560960548,0.00798564564673973,0.00693339572021918,0.00549242253720548,1.46614585753425,0.00652289348419138,0.00482825650670447
101982,"Africa","MRT","Mauritania","Brakna",0.0837550722217839,0.0838588695890411,0.0525470575342466,0.158787619726027,0.122051152328767,0.00813356988446575,0.00739556987616438,0.0053944343369863,0.00809918509315069,0.00911932929863014,0.00939060231506849,0.00901011881808219,0.00807878288164384,0.00717799288027397,0.0061814630489863,0.00610133415082192,0.00539237037506849,0.756872843561644,0.00400531673255252,0.0032108155187717
101984,"Africa","MRT","Mauritania","Gorgol",0.111490337202339,0.110413152328767,0.0715323208219178,0.233947997616438,0.176381062109589,0.010851297629589,0.00922579337808219,0.00760677983561644,0.0116374687232877,0.0126621673506849,0.0118425717213699,0.0107723608567123,0.00958608495561644,0.00827322531052055,0.00737130472147945,0.00636875765339726,0.00559857944386301,1.12207882054795,0.00542912312266249,0.00413705582836708
101985,"Africa","MRT","Mauritania","Guidimaka",0.115640993609869,0.114159659178082,0.0735163761643836,0.246319335945205,0.186270605589041,0.011485023219726,0.00968479375835616,0.00840410889589041,0.0120891674849315,0.0130031928931507,0.0125380998241096,0.0116327499249315,0.00984695172794521,0.00875905247424658,0.00724408674454795,0.0068870091890411,0.00572311809830137,1.21394673616438,0.00574820193872687,0.00435269428687292
101986,"Africa","MRT","Mauritania","Hodh ech Chargui",0.0854111392315211,0.0836000339726027,0.053455757260274,0.163479495561644,0.125917502547945,0.00841132840821918,0.00753328246027397,0.00596196096164384,0.00831275027671233,0.00932164859178082,0.00953812037753425,0.00924245139315068,0.00818418160821918,0.00717413640849315,0.00658377965361644,0.00592534654739726,0.00500816150093151,0.770706602739726,0.00416448839693456,0.00329994183199935
101987,"Africa","MRT","Mauritania","Hodh el Gharbi",0.0738735756903869,0.0763645115068493,0.0465554863013699,0.144355737068493,0.111317766684932,0.00753079168493151,0.00706014279726027,0.00509623637808219,0.00731610085753425,0.00849664884931507,0.00878611950219178,0.00822930723808219,0.00793062706438356,0.00716922330027397,0.00651407296657534,0.00603624167315068,0.00506934006643836,0.690305373972603,0.00370501094404166,0.003037146232181
101989,"Africa","MRT","Mauritania","Nouakchott",0.147203071355053,0.14559362109589,0.0956441265753425,0.335447093369863,0.246870384328767,0.0139264875013699,0.0110928797440548,0.0102695200931507,0.0156269038958904,0.0163065468287671,0.0152004260934247,0.0125101373416438,0.0107394280169863,0.00895263298687671,0.00749275205287671,0.00673022478709589,0.00603882103852055,1.66102560438356,0.0070550752040535,0.00512984165554599
101990,"Africa","MRT","Mauritania","Tagant",0.0787490152857078,0.0778690378082192,0.0481286745205479,0.144598328383562,0.111773427041096,0.00760766514794521,0.00703746171780822,0.00502612430684931,0.0074998556109589,0.00855189001643836,0.00864281613972603,0.00858509510383562,0.00743921334821918,0.00730518044794521,0.00627256275945205,0.00588772771342466,0.00513407897164384,0.699199415616438,0.00373540449821332,0.00303284283550651
101992,"Africa","MRT","Mauritania","Trarza",0.0374312155693718,0.0363581967123288,0.0220037336986301,0.0615551655068493,0.0483894808767123,0.00376632980547945,0.00401209016123288,0.00235222443835616,0.00350646301369863,0.00440574796986301,0.00415619179178082,0.0046143170109589,0.0048077834739726,0.00446245708465753,0.00422537655150685,0.00415716521452055,0.00371667756356164,0.285199762328767,0.0018324904298097,0.00165188231711181
102012,"Africa","MWI","Malawi","Balaka",0.218789972220141,0.218889249315069,0.154409879726027,1.23558672917808,0.72982180339726,0.0254870766935616,0.0157613477887671,0.0229814888849315,0.0371902025443836,0.0301808660624658,0.0209810386526027,0.0150681668965205,0.00990050537057534,0.00640424126213699,0.00422014132783562,0.00315114610449315,0.00200087364186301,7.56059883452055,0.013678335140872,0.00843039020251547
102013,"Africa","MWI","Malawi","Blantyre",0.114335185500063,0.115187142191781,0.0762267635616438,0.425011029643836,0.300901479479452,0.0148641817786027,0.010569311084137,0.010783079129589,0.0180414057643836,0.0181748071164384,0.0151990780723288,0.0120482509832877,0.00942163506323288,0.00694059867668493,0.00552256034306849,0.00394896466712329,0.00297011557013699,2.28605791561644,0.00759132386763029,0.00511177003158487
